,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
0,0,87.8,1,2009,84.0,1,0,0,7,73.82,1,650,665,810,0.694479327708463,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,445000
1,1,57.0,1,2010,64.5,1,1,0,2,65.0,0,440,435,210,0.342314899911815,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
2,1,77.33,3,2007,85.17,3,1,0,7,61.94,0,485,475,505,0.824666400671332,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
3,1,84.3,1,2009,86.0,1,0,0,2,80.4,1,675,620,635,0.990008756723898,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
4,0,82.0,1,2008,75.0,1,1,0,7,64.3,1,575,495,365,0.278457409311292,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.0622299999999999,0.1864,200000
5,0,83.16,2,2007,77.0,1,0,1,7,99.93,0,535,595,620,0.376059586651545,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
6,0,72.5,4,2007,53.2,4,1,0,6,68.0,1,510,495,405,0.829584599793067,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
7,0,77.0,4,2009,88.0,4,1,0,2,71.0,1,370,470,280,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
8,1,76.8,4,2010,87.7,4,1,0,5,73.15,0,510,555,440,0.744758354008939,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
9,0,57.0,4,2009,73.0,4,1,0,2,70.08,0,500,410,560,0.622642915849938,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
10,1,77.0,4,2008,75.0,4,1,0,7,62.0,0,675,630,485,0.207392169717661,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
11,1,81.2,4,2008,79.9,4,1,0,7,67.67,0,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,300000
12,0,85.0,3,2009,88.0,3,1,0,5,85.0,0,495,445,605,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
13,0,90.0,4,2009,82.1,4,1,0,2,85.0,0,640,530,705,0.486747008438193,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
14,1,86.4,1,2009,86.2,1,1,0,3,81.4,1,720,630,750,0.338786347219528,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
15,1,84.13,0,2008,77.0,0,1,0,5,75.2,0,385,515,465,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
16,1,81.7,3,2005,75.8,3,1,0,1,78.7,0,475,245,485,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
17,0,86.0,1,2010,89.0,1,1,0,2,73.9,0,520,570,620,0.953899775079926,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
18,1,66.15,4,2009,54.0,4,1,0,2,66.0,0,360,495,280,0.793580614548506,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
19,1,79.29,2,2009,68.67,1,1,0,2,76.0,0,545,505,595,0.356536487724475,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
20,1,60.0,4,2006,50.0,4,1,0,2,69.94,0,240,340,430,0.143256541032196,295,-1,-1,-1,-1,-1,-1,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,240000
21,0,58.4,1,2008,64.8,1,1,1,0,80.0,0,440,415,554,0.793580614548506,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
22,1,61.0,0,2003,59.0,0,1,0,5,63.0,1,355,565,495,0.930370607202691,565,-1,-1,-1,-1,-1,-1,-0.880999999999999,0.6568,0.672,1.4724,0.3444,430000
23,1,50.0,3,2008,64.0,3,1,0,3,70.0,0,345,365,445,0.538386892985096,-1,333,-1,-1,-1,-1,-1,-0.4173,-1.3713,0.9042,1.5578,0.3444,120000
24,0,67.06,4,2008,70.67,4,1,0,1,55.5,1,440,440,385,0.144789889482462,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
25,0,67.0,1,2008,61.0,1,1,0,2,75.0,0,370,410,320,0.488347976782714,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
26,1,73.0,4,2009,71.0,4,1,0,5,61.0,1,180,365,310,0.0745462652358558,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
27,1,86.17,3,2006,78.6,1,0,0,1,73.34,1,505,495,695,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-1.4992,0.5008,0.2366,0.6498,0.6603,500000
28,1,78.0,2,2009,75.0,1,1,0,6,73.0,0,630,555,570,0.0669607065028304,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
29,1,71.8,1,2007,68.2,1,1,0,3,76.5,0,615,590,585,-1.0,485,-1,-1,-1,-1,-1,-1,-0.159,-0.7866,-0.7585,0.1459,-2.0105,200000
30,1,66.66,3,2005,80.4,3,1,0,5,64.29,0,525,505,575,0.901489571371033,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
31,1,85.0,4,2009,81.0,4,1,0,2,76.7,1,455,530,440,0.622642915849938,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637,330000
32,0,83.6,1,2008,74.0,1,1,0,5,71.0,0,615,595,720,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
33,1,61.69,4,2008,60.66,4,0,1,0,77.5,0,440,605,520,0.356536487724475,575,-1,346,-1,-1,-1,-1,0.5591,0.3789,0.6248,0.3995,-1.0524,240000
34,1,85.0,1,2009,82.0,1,1,0,3,81.0,1,730,525,690,0.694479327708463,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524,325000
35,1,80.13,4,2008,69.17,4,1,0,7,60.34,0,590,440,385,0.996744486852253,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,215000
36,1,82.5,1,2009,85.0,4,1,0,5,75.0,1,545,485,530,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
37,1,63.5,4,2010,65.72,4,1,0,2,60.0,0,430,460,320,0.23780283983757,355,-1,315,-1,-1,-1,-1,0.5591,1.0449,0.3174,-0.2344,0.6721,220000
38,1,64.0,1,2010,62.0,1,1,0,2,75.0,0,345,470,365,0.356536487724475,435,-1,346,-1,-1,-1,-1,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,180000
39,1,76.0,3,2005,61.0,3,1,1,0,85.0,0,464,475,575,0.960903087163164,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
